feature,importance
bert_0,96
bert_1,79
bert_2,260
bert_3,87
bert_4,98
bert_5,93
bert_6,174
bert_7,111
bert_8,115
bert_9,94
bert_10,243
bert_11,103
bert_12,80
bert_13,82
bert_14,85
bert_15,126
bert_16,123
bert_17,87
bert_18,60
bert_19,77
bert_20,77
bert_21,84
bert_22,192
bert_23,115
bert_24,107
bert_25,98
bert_26,89
bert_27,121
bert_28,207
bert_29,42
bert_30,338
bert_31,161
bert_32,91
bert_33,84
bert_34,64
bert_35,99
bert_36,114
bert_37,155
bert_38,117
bert_39,97
bert_40,126
bert_41,85
bert_42,130
bert_43,111
bert_44,84
bert_45,439
bert_46,116
bert_47,84
bert_48,114
bert_49,103
bert_50,166
bert_51,56
bert_52,122
bert_53,113
bert_54,231
bert_55,93
bert_56,64
bert_57,105
bert_58,98
bert_59,66
bert_60,139
bert_61,82
bert_62,64
bert_63,133
bert_64,88
bert_65,120
bert_66,142
bert_67,93
bert_68,68
bert_69,255
bert_70,83
bert_71,121
bert_72,121
bert_73,102
bert_74,66
bert_75,117
bert_76,152
bert_77,75
bert_78,99
bert_79,107
bert_80,80
bert_81,84
bert_82,103
bert_83,74
bert_84,88
bert_85,112
bert_86,98
bert_87,77
bert_88,100
bert_89,103
bert_90,93
bert_91,126
bert_92,118
bert_93,117
bert_94,413
bert_95,75
bert_96,72
bert_97,97
bert_98,42
bert_99,131
bert_100,97
bert_101,103
bert_102,75
bert_103,147
bert_104,114
bert_105,119
bert_106,131
bert_107,98
bert_108,146
bert_109,68
bert_110,107
bert_111,75
bert_112,95
bert_113,75
bert_114,122
bert_115,73
bert_116,79
bert_117,181
bert_118,82
bert_119,85
bert_120,111
bert_121,88
bert_122,113
bert_123,84
bert_124,115
bert_125,128
bert_126,52
bert_127,68
length,51
emoji_count,74
hashtag_count,0
exclamation_count,62
question_count,65
capitalized_word_count,2
sentence_count,55
word_count,53
avg_word_length,102
verb_count,37
noun_count,52
adjective_count,48
entity_count,0
has_numerical_list,0
self_promotion_count,71
buzzword_count,5
buzzword_ratio,3
humble_brag_count,30
personal_pronouns,28
motivation_score,11
excessive_punctuation,73
has_call_to_action,65
has_viral_pattern,0
starts_with_number,4
contains_money_reference,0
sentiment_polarity,114
sentiment_subjectivity,111
is_extemely_positive,0
is_extremely_negative,0
